0;-5443901;-6853044;-6099766
1;-5316779;-6503175;-5853713
2;-5218592;-6449056;-5695198
3;-5146126;-6452600;-5587497
4;-4990870;-6285327;-5514374
5;-4954500;-6216946;-5390690
6;-4910964;-6251087;-5318142
7;-4838910;-6086686;-5174573
8;-4765656;-5951651;-5143884
9;-4681589;-5943866;-5091156
10;-4677006;-5937455;-5028191
11;-4612847;-6034745;-4986127
12;-4524284;-6157233;-4921832
13;-4443436;-5898616;-4843680
14;-4440462;-6041601;-4804839
15;-4379975;-5951222;-4652478
16;-4298784;-6076764;-4557323
17;-4290842;-5631230;-4478707
18;-4259809;-5463047;-4446654
19;-4177322;-6015498;-4401713
20;-4143948;-5837276;-4321748
21;-4093714;-5820125;-4262079
22;-4047281;-5645847;-4213029
23;-4015072;-5668005;-4149797
24;-3923528;-5497439;-4118985
25;-3891506;-5917330;-4078523
26;-3832693;-5404161;-4033042
27;-3799843;-5334547;-3968794
28;-3783125;-4826234;-3907135
29;-3737794;-5272238;-3861694
30;-3722194;-5719773;-3819684
31;-3708744;-5424849;-3809833
32;-3634329;-5038652;-3764687
33;-3634329;-4956363;-3758548
34;-3610797;-5440879;-3717844
35;-3600100;-5088424;-3668181
36;-3558775;-5191572;-3659509
37;-3550349;-5074104;-3628352
38;-3527481;-4910474;-3608202
39;-3474766;-4284592;-3572865
40;-3460501;-4662507;-3570882
41;-3442735;-5056908;-3547513
42;-3433995;-4958678;-3512601
43;-3416623;-4448951;-3478935
44;-3386176;-4549406;-3460418
45;-3375080;-4665625;-3450908
46;-3343584;-4649648;-3436611
47;-3316389;-5126760;-3413979
48;-3316389;-4597712;-3399339
49;-3301601;-4356016;-3363216
50;-3273584;-4851863;-3347404
51;-3261325;-4869307;-3337504
52;-3228326;-4625986;-3324963
53;-3201849;-4831277;-3305812
54;-3192638;-4377356;-3281655
55;-3156078;-4294744;-3242042
56;-3150380;-4863216;-3231605
57;-3129950;-4539402;-3208810
58;-3111575;-4750510;-3189510
59;-3107827;-4592828;-3171218
60;-3063623;-4740371;-3150704
61;-3052796;-4678444;-3138573
62;-3040767;-4282527;-3112477
63;-3015207;-4897359;-3089691
64;-2998531;-5087724;-3084147
65;-2983256;-4503121;-3059048
66;-2975335;-4055884;-3028501
67;-2956596;-4080040;-3020707
68;-2937488;-4711489;-3010268
69;-2925591;-4784139;-3002322
70;-2913351;-4625514;-2990919
71;-2880191;-4082155;-2965631
72;-2880191;-4759841;-2948415
73;-2866737;-5027196;-2945822
74;-2855168;-4775730;-2925870
75;-2841201;-4096918;-2903480
76;-2828582;-4459658;-2890990
77;-2819503;-4555260;-2895559
78;-2810373;-4661114;-2874932
79;-2792750;-4488354;-2866119
80;-2788652;-4589360;-2852535
81;-2775240;-4498228;-2834293
82;-2764970;-4580468;-2826002
83;-2761184;-4112427;-2818898
84;-2748777;-4612722;-2807761
85;-2721702;-4568663;-2803136
86;-2712495;-4216131;-2786718
87;-2668989;-4149307;-2769630
88;-2657701;-4416412;-2771198
89;-2626752;-4630334;-2745798
90;-2614815;-4212455;-2693693
91;-2608944;-4245993;-2673322
92;-2597007;-4646225;-2659498
93;-2595183;-3437633;-2638327
94;-2579005;-4138025;-2633055
95;-2558556;-4172649;-2620925
96;-2545882;-4299326;-2608807
97;-2526510;-4217968;-2603474
98;-2518381;-4183558;-2586105
99;-2501967;-4529758;-2578320
